Fri Jul 18 09:27:21 CST 2025

Device Version Info = 4500_2_11
BQZ Device Name = bq40z50R2
BQZ Firmware Version = V2_11_BLD52

Design Capacity = 4705
Design Voltage = 7260
Specification Info = 0x0031
Manufacturer Date = 1980-1-1
Serial Number = 0x0000
Manufacturer Name = Inventus
Device Name = bq40z50-R2
Device Chemistry = LION

Sample,DateTime,ElapsedTime,ManufAccess,RemCapAlarm,RemTimeAlarm,BattMode,@Rate(@),@TimeFull,@TimeEmpty,@RateOK,Temperature,Voltage,Current,AvgCurr,MaxErr,RSOC,ASOC,RemCap,FullChgCap,RunTimeEmty,AvgTimeEmty,AvgTimeFull,ChgCurr,ChgVolt,BattStat,CycleCnt,MaxTurboPwr,SusTurboPwr,MaxTurboCurr,SusTurboCurr,SoH,OpStatA,OpStatB,TempRange,ChgStat,GaugeStat,ITStat,MfgStat,SafetyAlertAB,SafetyStatAB,SafetyAlertCD,SafetyStatCD,PFAlertAB,PFStatAB,PFAlertCD,PFStatCD,CellVolt1,CellVolt2,CellVolt3,CellVolt4,vBAT,vPACK,CellCurr1,CellCurr2,CellCurr3,CellCurr4,CellPower1,CellPower2,CellPower3,CellPower4,Power,AvgPow,IntTemp,TS1Temp,TS2Temp,TS3Temp,TS4Temp,CellTemp,FETTemp,GaugeTemp,FltRemQ,FltRemE,FltFullChgQ,FltFullChgE,NoLoadRemCap,TrueRemQ,TrueRemE,InitialQ,InitialE,TrueFullChgQ,TrueFullChgE,T_sim,T_ambient,RaScale1,RaScale2,RaScale3,RaScale4,CompRes1,CompRes2,CompRes3,CompRes4,PackGrid,LStatus,CellGrid1,CellGrid2,CellGrid3,CellGrid4,StateTime,DOD0_1,DOD0_2,DOD0_3,DOD0_4,DOD0 Passed Q,DOD0 Passed E,DOD0 Time,DODEOC_1,DODEOC_2,DODEOC_3,DODEOC_4,QMax1,QMax2,QMax3,QMax4,QMaxDOD0_1,QMaxDOD0_2,QMaxDOD0_3,QMaxDOD0_4,QMaxPassedQ,QMaxTime,Tk,Ta,RawDOD_1,RawDOD_2,RawDOD_3,RawDOD_4,CBTime1,CBTime2,CBTime3,CBTime4,CBDOD_1,CBDOD_2,CBDOD_3,CBDOD_4,CBTotalDODChg,SOH_FC_Q,SOH_FC_E,LogRowTime(ms),LogStatus
1,2025-07-18 09:27:26,4.011,0x0187,0,0,0x6001,0,65535,65535,1,25.9,8168,-4701,-1252,1,100,95,4438,4438,57,213,65535,0,8400,0x00E0,0,-13985,-7391,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4079,4078,0,0,8156,8126,-4701,-4701,0,0,-1918,-1917,0,0,-3835,-1223,26.7,25.9,196.1,196.5,196.5,25.9,-273.2,25.9,4546,3295,4438,3205,5210,4544,3293,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,2,35,51,0,0,4,3,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3603,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1208,SUCCESS
2,2025-07-18 09:27:30,8.024,0x0187,0,0,0x6001,0,65535,65535,1,26.0,8131,-4697,-2081,1,100,95,4438,4438,57,128,65535,0,8400,0x00E0,0,-13978,-7387,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4062,4062,0,0,8126,8089,-4697,-4698,0,0,-1908,-1908,0,0,-3815,-1848,26.8,26.0,196.5,196.5,196.5,26.0,-273.2,26.0,4540,3291,4438,3205,5205,4539,3289,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,6,35,51,0,0,9,7,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3598,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1163,SUCCESS
3,2025-07-18 09:27:34,12.026,0x0187,0,0,0x6001,0,65535,65535,1,26.2,8107,-4695,-2709,1,100,95,4438,4438,57,98,65535,0,8400,0x00E0,0,-13970,-7383,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4051,4050,0,0,8102,8064,-4696,-4697,0,0,-1902,-1902,0,0,-3803,-2318,27.0,26.2,196.5,194.6,195.9,26.2,-273.2,26.2,4535,3287,4438,3205,5200,4534,3285,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,10,35,51,0,0,15,12,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3592,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1178,SUCCESS
4,2025-07-18 09:27:38,16.034,0x0187,0,0,0x6001,0,65535,65535,1,26.4,8089,-4694,-3186,1,100,95,4438,4438,57,84,65535,0,8400,0x00E0,0,-13957,-7377,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4042,4042,0,0,8083,8050,-4691,-4697,0,0,-1896,-1899,0,0,-3795,-2674,27.2,26.4,196.1,196.5,196.1,26.4,-273.2,26.4,4530,3282,4438,3205,5195,4529,3281,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,14,35,51,0,0,20,16,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3587,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1202,SUCCESS
5,2025-07-18 09:27:42,20.048,0x0187,0,0,0x6001,0,65535,65535,1,26.6,8073,-4693,-3548,1,100,95,4438,4438,57,75,65535,0,8400,0x00E0,0,-13949,-7373,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4035,4035,0,0,8071,8035,-4692,-4692,0,0,-1893,-1893,0,0,-3787,-2942,27.5,26.6,196.5,196.1,196.5,26.6,-273.2,26.6,4525,3278,4438,3205,5189,4523,3276,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,18,35,51,0,0,25,20,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3582,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1271,SUCCESS
6,2025-07-18 09:27:46,24.059,0x0187,0,0,0x6001,0,65535,65535,1,26.8,8060,-4692,-3823,1,100,95,4438,4438,57,70,65535,0,8400,0x00E0,0,-13940,-7368,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4029,4028,0,0,8057,8021,-4695,-4695,0,0,-1892,-1891,0,0,-3780,-3098,27.6,26.8,196.5,195.9,196.4,26.8,-273.2,26.8,4520,3274,4438,3205,5184,4518,3272,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,22,35,51,0,0,30,24,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3577,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1224,SUCCESS
7,2025-07-18 09:27:50,28.071,0x0187,0,0,0x6001,0,65535,65535,1,26.9,8049,-4691,-4032,1,100,95,4438,4438,57,66,65535,0,8400,0x00E0,0,-13932,-7364,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4023,4023,0,0,8044,8010,-4695,-4689,0,0,-1889,-1886,0,0,-3775,-3262,27.9,27.0,196.1,195.6,196.5,27.0,-273.2,27.0,4514,3270,4438,3205,5179,4513,3268,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,26,35,51,0,0,35,28,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3572,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1226,SUCCESS
8,2025-07-18 09:27:54,32.081,0x0187,0,0,0x6001,0,65535,65535,1,27.2,8039,-4692,-4191,1,100,95,4438,4438,57,64,65535,0,8400,0x00E0,0,-13925,-7361,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4018,4018,0,0,8036,8001,-4692,-4690,0,0,-1885,-1884,0,0,-3770,-3385,28.1,27.2,196.1,196.5,196.5,27.2,-273.2,27.2,4509,3266,4438,3205,5174,4508,3264,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,30,35,51,0,0,41,33,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3566,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1252,SUCCESS
9,2025-07-18 09:27:58,36.089,0x0187,0,0,0x6001,0,65535,65535,1,27.4,8030,-4691,-4311,1,100,95,4438,4438,57,62,65535,0,8400,0x00E0,0,-13916,-7356,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4014,4013,0,0,8027,7990,-4692,-4691,0,0,-1883,-1882,0,0,-3765,-3477,28.4,27.4,196.1,196.1,196.1,27.4,-273.2,27.4,4504,3261,4438,3205,5169,4503,3260,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,34,35,51,0,0,46,37,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3561,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1295,SUCCESS
10,2025-07-18 09:28:02,40.101,0x0187,0,0,0x6001,0,65535,65535,1,27.6,8022,-4691,-4402,1,100,95,4438,4438,57,60,65535,0,8400,0x00E0,0,-13917,-7357,-18820,-9410,100,0x0187,0x0000,0x08,0x0048,0x4A,0x0100,0x0010,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4010,4010,0,0,8018,7983,-4691,-4692,0,0,-1881,-1881,0,0,-3762,-3546,28.6,27.6,196.8,196.3,195.7,27.6,-273.2,27.6,4499,3257,4438,3205,5163,4497,3255,-111,-92,4437,3204,25.9,25.8,1000,1000,0,0,0,0,0,0,1,2,1,1,0,0,38,35,51,0,0,51,41,0,352,400,0,0,5252,5230,0,0,0,0,0,0,-3556,268,10.0,18000,40,56,0,0,0,0,0,0,0,0,0,0,0,4727,3502,1203,SUCCESS
